AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,household_key,INCOME_DESC_REDUCED,MEAN_AGE,MEAN_INCOME
55-64,A,125-149K,Homeowner,2 Adults No Kids,2,0,898,100-149K,59.5,137.0
35-44,A,35-49K,Homeowner,2 Adults No Kids,2,0,900,25-49K,39.5,42.0
35-44,A,35-49K,Homeowner,1 Adult No Kids,1,0,903,25-49K,39.5,42.0
55-64,A,Under 15K,Homeowner,1 Adult No Kids,2,0,906,<25K,59.5,15.0
45-54,A,100-124K,Homeowner,2 Adults Kids,3,1,908,100-149K,49.5,112.0
25-34,A,125-149K,Homeowner,2 Adults No Kids,2,0,911,100-149K,29.5,137.0
45-54,B,15-24K,Homeowner,2 Adults No Kids,2,0,914,<25K,49.5,19.5
45-54,A,15-24K,Homeowner,1 Adult No Kids,1,0,915,<25K,49.5,19.5
45-54,A,35-49K,Homeowner,2 Adults Kids,5,3,920,25-49K,49.5,42.0
45-54,B,35-49K,Homeowner,1 Adult No Kids,1,0,922,25-49K,49.5,42.0
35-44,A,Under 15K,Homeowner,2 Adults No Kids,2,0,926,<25K,39.5,15.0
45-54,B,25-34K,Renter,1 Adult Kids,2,1,929,25-49K,49.5,29.5
19-24,A,15-24K,Homeowner,2 Adults No Kids,2,0,932,<25K,21.5,19.5
45-54,A,Under 15K,Homeowner,1 Adult No Kids,1,0,934,<25K,49.5,15.0
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,0,939,50-99K,49.5,87.0
19-24,A,200-249K,Homeowner,2 Adults No Kids,2,0,941,150K+,21.5,224.5
19-24,A,Under 15K,Homeowner,1 Adult No Kids,1,0,946,<25K,21.5,15.0
65+,B,35-49K,Homeowner,1 Adult No Kids,1,0,947,25-49K,65.0,42.0
25-34,A,50-74K,Homeowner,2 Adults No Kids,2,0,949,50-99K,29.5,62.0
19-24,A,Under 15K,Homeowner,1 Adult No Kids,1,0,955,<25K,21.5,15.0
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,0,956,50-99K,49.5,62.0
35-44,A,125-149K,Homeowner,2 Adults Kids,5,3,960,100-149K,39.5,137.0
35-44,B,35-49K,Renter,1 Adult Kids,2,1,968,25-49K,39.5,42.0
25-34,A,35-49K,Homeowner,2 Adults Kids,3,1,971,25-49K,29.5,42.0
35-44,A,50-74K,Homeowner,2 Adults Kids,4,2,973,50-99K,39.5,62.0
25-34,A,200-249K,Homeowner,2 Adults Kids,5,3,976,150K+,29.5,224.5
35-44,B,35-49K,Homeowner,1 Adult Kids,2,1,979,25-49K,39.5,42.0
45-54,A,25-34K,Homeowner,1 Adult No Kids,2,0,981,25-49K,49.5,29.5
45-54,A,35-49K,Homeowner,2 Adults Kids,4,2,982,25-49K,49.5,42.0
45-54,A,35-49K,Homeowner,2 Adults Kids,3,1,983,25-49K,49.5,42.0
25-34,A,35-49K,Homeowner,1 Adult No Kids,1,0,986,25-49K,29.5,42.0
45-54,A,35-49K,Homeowner,2 Adults Kids,3,1,992,25-49K,49.5,42.0
55-64,A,50-74K,Homeowner,1 Adult Kids,5,3,993,50-99K,59.5,62.0
55-64,A,25-34K,Homeowner,2 Adults No Kids,2,0,996,25-49K,59.5,29.5
45-54,A,75-99K,Homeowner,1 Adult No Kids,1,0,997,50-99K,49.5,87.0
45-54,B,50-74K,Homeowner,1 Adult No Kids,1,0,1001,50-99K,49.5,62.0
35-44,A,25-34K,Homeowner,1 Adult No Kids,1,0,1003,25-49K,39.5,29.5
25-34,A,15-24K,Homeowner,1 Adult No Kids,1,0,1004,<25K,29.5,19.5
35-44,A,35-49K,Homeowner,2 Adults Kids,5,3,1012,25-49K,39.5,42.0
45-54,A,15-24K,Homeowner,2 Adults Kids,4,2,1014,<25K,49.5,19.5
45-54,B,50-74K,Homeowner,1 Adult No Kids,1,0,1015,50-99K,49.5,62.0
45-54,A,35-49K,Homeowner,2 Adults Kids,5,3,1018,25-49K,49.5,42.0
45-54,A,25-34K,Homeowner,2 Adults No Kids,2,0,1020,25-49K,49.5,29.5
35-44,A,50-74K,Homeowner,2 Adults Kids,5,3,1021,50-99K,39.5,62.0
25-34,A,Under 15K,Homeowner,2 Adults Kids,4,2,1024,<25K,29.5,15.0
35-44,A,75-99K,Homeowner,2 Adults No Kids,2,0,1031,50-99K,39.5,87.0
55-64,A,Under 15K,Renter,1 Adult No Kids,1,0,1038,<25K,59.5,15.0
25-34,B,100-124K,Homeowner,1 Adult No Kids,1,0,1040,100-149K,29.5,112.0
25-34,A,35-49K,Homeowner,1 Adult No Kids,1,0,1041,25-49K,29.5,42.0
25-34,A,75-99K,Homeowner,2 Adults No Kids,2,0,1042,50-99K,29.5,87.0
25-34,A,Under 15K,Homeowner,1 Adult No Kids,2,0,1045,<25K,29.5,15.0
55-64,A,100-124K,Homeowner,2 Adults No Kids,2,0,1053,100-149K,59.5,112.0
35-44,A,50-74K,Homeowner,1 Adult No Kids,1,0,1057,50-99K,39.5,62.0
35-44,B,35-49K,Renter,2 Adults No Kids,2,0,1060,25-49K,39.5,42.0
65+,A,15-24K,Homeowner,2 Adults No Kids,2,0,1062,<25K,65.0,19.5
35-44,A,25-34K,Homeowner,2 Adults No Kids,2,0,1066,25-49K,39.5,29.5
25-34,A,35-49K,Homeowner,2 Adults No Kids,2,0,1069,25-49K,29.5,42.0
35-44,A,50-74K,Homeowner,2 Adults No Kids,2,0,1070,50-99K,39.5,62.0
45-54,A,35-49K,Homeowner,2 Adults Kids,4,2,1074,25-49K,49.5,42.0
25-34,B,35-49K,Homeowner,2 Adults No Kids,2,0,1076,25-49K,29.5,42.0
55-64,A,75-99K,Homeowner,2 Adults No Kids,2,0,1081,50-99K,59.5,87.0
45-54,A,35-49K,Homeowner,1 Adult No Kids,1,0,1082,25-49K,49.5,42.0
25-34,A,35-49K,Homeowner,2 Adults Kids,3,1,1084,25-49K,29.5,42.0
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,0,1091,50-99K,49.5,87.0
45-54,A,75-99K,Homeowner,2 Adults Kids,5,3,1094,50-99K,49.5,87.0
35-44,A,50-74K,Homeowner,2 Adults Kids,3,1,1103,50-99K,39.5,62.0
45-54,A,50-74K,Homeowner,2 Adults Kids,3,1,1113,50-99K,49.5,62.0
35-44,B,Under 15K,Renter,2 Adults Kids,4,2,1120,<25K,39.5,15.0
55-64,A,15-24K,Homeowner,1 Adult No Kids,2,0,1123,<25K,59.5,19.5
25-34,A,75-99K,Homeowner,2 Adults Kids,3,1,1128,50-99K,29.5,87.0
55-64,A,25-34K,Renter,2 Adults Kids,3,1,1130,25-49K,59.5,29.5
45-54,B,50-74K,Homeowner,2 Adults Kids,3,1,1131,50-99K,49.5,62.0
45-54,B,50-74K,Homeowner,1 Adult Kids,2,1,1135,50-99K,49.5,62.0
65+,B,35-49K,Homeowner,1 Adult No Kids,1,0,1137,25-49K,65.0,42.0
35-44,A,15-24K,Homeowner,2 Adults No Kids,2,0,1138,<25K,39.5,19.5
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,0,1142,50-99K,49.5,62.0
35-44,B,35-49K,Homeowner,1 Adult Kids,4,3,1146,25-49K,39.5,42.0
19-24,A,25-34K,Homeowner,2 Adults No Kids,2,0,1147,25-49K,21.5,29.5
45-54,A,Under 15K,Renter,1 Adult No Kids,1,0,1151,<25K,49.5,15.0
45-54,A,35-49K,Homeowner,2 Adults No Kids,2,0,1154,25-49K,49.5,42.0
45-54,A,15-24K,Homeowner,2 Adults No Kids,2,0,1158,<25K,49.5,19.5
45-54,A,15-24K,Homeowner,2 Adults No Kids,2,0,1159,<25K,49.5,19.5
65+,A,35-49K,Homeowner,1 Adult No Kids,1,0,1160,25-49K,65.0,42.0
35-44,B,Under 15K,Homeowner,1 Adult No Kids,1,0,1163,<25K,39.5,15.0
25-34,A,15-24K,Homeowner,1 Adult No Kids,1,0,1164,<25K,29.5,19.5
45-54,A,125-149K,Homeowner,2 Adults Kids,3,1,1166,100-149K,49.5,137.0
35-44,A,50-74K,Homeowner,2 Adults Kids,4,2,1167,50-99K,39.5,62.0
19-24,A,15-24K,Homeowner,2 Adults No Kids,2,0,1169,<25K,21.5,19.5
25-34,B,50-74K,Homeowner,1 Adult No Kids,1,0,1172,50-99K,29.5,62.0
25-34,A,Under 15K,Homeowner,2 Adults Kids,5,3,1174,<25K,29.5,15.0
25-34,A,50-74K,Homeowner,1 Adult No Kids,2,0,1175,50-99K,29.5,62.0
45-54,A,15-24K,Homeowner,1 Adult No Kids,1,0,1178,<25K,49.5,19.5
35-44,A,50-74K,Homeowner,2 Adults No Kids,2,0,1179,50-99K,39.5,62.0
45-54,A,50-74K,Homeowner,1 Adult Kids,5,3,1186,50-99K,49.5,62.0
45-54,B,35-49K,Renter,1 Adult No Kids,1,0,1188,25-49K,49.5,42.0
25-34,A,35-49K,Homeowner,2 Adults No Kids,2,0,1190,25-49K,29.5,42.0
35-44,A,150-174K,Homeowner,2 Adults No Kids,2,0,1197,150K+,39.5,162.0
45-54,A,35-49K,Homeowner,2 Adults Kids,4,2,1218,25-49K,49.5,42.0
19-24,A,15-24K,Homeowner,2 Adults Kids,3,1,1219,<25K,21.5,19.5
45-54,A,15-24K,Homeowner,1 Adult No Kids,1,0,1222,<25K,49.5,19.5
25-34,B,35-49K,Homeowner,1 Adult Kids,3,2,1226,25-49K,29.5,42.0
45-54,A,100-124K,Homeowner,1 Adult No Kids,1,0,1228,100-149K,49.5,112.0
55-64,A,150-174K,Homeowner,2 Adults No Kids,2,0,1229,150K+,59.5,162.0
45-54,B,35-49K,Homeowner,2 Adults No Kids,2,0,1234,25-49K,49.5,42.0
35-44,A,50-74K,Homeowner,2 Adults Kids,3,1,1236,50-99K,39.5,62.0
45-54,A,Under 15K,Homeowner,2 Adults No Kids,2,0,1240,<25K,49.5,15.0
35-44,A,35-49K,Homeowner,2 Adults No Kids,2,0,1247,25-49K,39.5,42.0
45-54,B,50-74K,Homeowner,1 Adult Kids,2,1,1248,50-99K,49.5,62.0
45-54,B,50-74K,Homeowner,1 Adult Kids,2,1,1256,50-99K,49.5,62.0
45-54,A,50-74K,Homeowner,2 Adults Kids,3,1,1257,50-99K,49.5,62.0
45-54,B,75-99K,Homeowner,1 Adult No Kids,1,0,1258,50-99K,49.5,87.0
65+,A,50-74K,Homeowner,1 Adult No Kids,1,0,1260,50-99K,65.0,62.0
45-54,A,25-34K,Homeowner,1 Adult No Kids,2,0,1261,25-49K,49.5,29.5
25-34,B,15-24K,Homeowner,1 Adult No Kids,1,0,1263,<25K,29.5,19.5
45-54,A,15-24K,Homeowner,1 Adult No Kids,1,0,1264,<25K,49.5,19.5
25-34,A,75-99K,Homeowner,1 Adult No Kids,1,0,1267,50-99K,29.5,87.0
35-44,A,Under 15K,Homeowner,2 Adults Kids,4,2,1268,<25K,39.5,15.0
45-54,A,15-24K,Homeowner,1 Adult No Kids,1,0,1270,<25K,49.5,19.5
65+,A,35-49K,Homeowner,1 Adult No Kids,2,0,1272,25-49K,65.0,42.0
25-34,B,25-34K,Renter,1 Adult Kids,3,2,1285,25-49K,29.5,29.5
55-64,A,35-49K,Homeowner,1 Adult No Kids,2,0,1291,25-49K,59.5,42.0
65+,A,25-34K,Homeowner,1 Adult No Kids,2,0,1296,25-49K,65.0,29.5
35-44,B,75-99K,Homeowner,1 Adult No Kids,1,0,1297,50-99K,39.5,87.0
35-44,A,15-24K,Renter,2 Adults Kids,4,2,1299,<25K,39.5,19.5
45-54,A,50-74K,Homeowner,2 Adults Kids,4,2,1300,50-99K,49.5,62.0
19-24,B,Under 15K,Renter,1 Adult Kids,2,1,1305,<25K,21.5,15.0
45-54,B,Under 15K,Homeowner,1 Adult No Kids,1,0,1306,<25K,49.5,15.0
55-64,A,35-49K,Homeowner,2 Adults No Kids,2,0,1316,25-49K,59.5,42.0
65+,A,50-74K,Homeowner,2 Adults No Kids,2,0,1318,50-99K,65.0,62.0
19-24,A,35-49K,Homeowner,2 Adults No Kids,2,0,1321,25-49K,21.5,42.0
45-54,A,Under 15K,Homeowner,1 Adult No Kids,1,0,1326,<25K,49.5,15.0
45-54,A,125-149K,Homeowner,2 Adults Kids,4,2,1333,100-149K,49.5,137.0
45-54,A,50-74K,Homeowner,2 Adults Kids,4,2,1337,50-99K,49.5,62.0
35-44,A,75-99K,Homeowner,2 Adults No Kids,2,0,1352,50-99K,39.5,87.0
65+,B,15-24K,Homeowner,2 Adults No Kids,2,0,1354,<25K,65.0,19.5
55-64,A,25-34K,Homeowner,2 Adults No Kids,2,0,1357,25-49K,59.5,29.5
25-34,B,15-24K,Homeowner,1 Adult Kids,2,1,1363,<25K,29.5,19.5
65+,B,100-124K,Homeowner,1 Adult No Kids,1,0,1364,100-149K,65.0,112.0
35-44,A,75-99K,Homeowner,2 Adults Kids,3,1,1367,50-99K,39.5,87.0
25-34,B,Under 15K,Renter,1 Adult No Kids,1,0,1369,<25K,29.5,15.0
65+,A,25-34K,Homeowner,2 Adults No Kids,2,0,1370,25-49K,65.0,29.5
55-64,B,50-74K,Homeowner,1 Adult No Kids,1,0,1376,50-99K,59.5,62.0
25-34,A,100-124K,Homeowner,1 Adult No Kids,1,0,1378,100-149K,29.5,112.0
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,0,1382,50-99K,49.5,62.0
35-44,A,100-124K,Homeowner,2 Adults Kids,3,1,1388,100-149K,39.5,112.0
65+,A,100-124K,Homeowner,1 Adult No Kids,2,0,1389,100-149K,65.0,112.0
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,0,1391,50-99K,49.5,62.0
35-44,B,150-174K,Homeowner,1 Adult No Kids,1,0,1393,150K+,39.5,162.0
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,0,1394,50-99K,49.5,62.0
65+,A,125-149K,Homeowner,2 Adults No Kids,2,0,1396,100-149K,65.0,137.0
45-54,B,35-49K,Renter,1 Adult No Kids,1,0,1397,25-49K,49.5,42.0
55-64,A,15-24K,Homeowner,1 Adult No Kids,1,0,1402,<25K,59.5,19.5
45-54,A,50-74K,Homeowner,2 Adults Kids,3,1,1412,50-99K,49.5,62.0
25-34,A,35-49K,Homeowner,2 Adults Kids,3,1,1418,25-49K,29.5,42.0
35-44,A,35-49K,Homeowner,1 Adult No Kids,1,0,1419,25-49K,39.5,42.0
35-44,A,50-74K,Homeowner,2 Adults No Kids,2,0,1421,50-99K,39.5,62.0
45-54,A,15-24K,Homeowner,1 Adult No Kids,1,0,1423,<25K,49.5,19.5
19-24,B,50-74K,Homeowner,2 Adults Kids,3,1,1425,50-99K,21.5,62.0
55-64,A,35-49K,Homeowner,2 Adults No Kids,2,0,1428,25-49K,59.5,42.0
45-54,B,35-49K,Renter,1 Adult No Kids,1,0,1429,25-49K,49.5,42.0
35-44,A,35-49K,Homeowner,2 Adults Kids,3,1,1430,25-49K,39.5,42.0
25-34,A,15-24K,Homeowner,1 Adult Kids,3,1,1437,<25K,29.5,19.5
45-54,A,Under 15K,Homeowner,1 Adult No Kids,1,0,1438,<25K,49.5,15.0
35-44,A,150-174K,Homeowner,2 Adults No Kids,2,0,1443,150K+,39.5,162.0
35-44,A,Under 15K,Homeowner,2 Adults No Kids,2,0,1445,<25K,39.5,15.0
45-54,A,125-149K,Homeowner,1 Adult Kids,5,3,1451,100-149K,49.5,137.0
45-54,A,25-34K,Homeowner,2 Adults Kids,3,1,1452,25-49K,49.5,29.5
45-54,A,125-149K,Homeowner,2 Adults Kids,3,1,1453,100-149K,49.5,137.0
65+,A,75-99K,Homeowner,2 Adults No Kids,2,0,1454,50-99K,65.0,87.0
35-44,A,25-34K,Homeowner,2 Adults No Kids,2,0,1461,25-49K,39.5,29.5
25-34,A,50-74K,Renter,2 Adults No Kids,2,0,1462,50-99K,29.5,62.0
35-44,A,50-74K,Homeowner,2 Adults Kids,4,2,1467,50-99K,39.5,62.0
65+,A,75-99K,Homeowner,2 Adults No Kids,2,0,1468,50-99K,65.0,87.0
45-54,A,35-49K,Homeowner,1 Adult No Kids,1,0,1470,25-49K,49.5,42.0
35-44,B,50-74K,Homeowner,1 Adult No Kids,1,0,1474,50-99K,39.5,62.0
25-34,B,50-74K,Homeowner,1 Adult No Kids,1,0,1475,50-99K,29.5,62.0
45-54,B,15-24K,Renter,1 Adult No Kids,1,0,1479,<25K,49.5,19.5
19-24,A,35-49K,Homeowner,1 Adult No Kids,1,0,1481,25-49K,21.5,42.0
19-24,B,Under 15K,Homeowner,1 Adult No Kids,1,0,1483,<25K,21.5,15.0
19-24,A,35-49K,Homeowner,2 Adults No Kids,2,0,1484,25-49K,21.5,42.0
35-44,A,50-74K,Homeowner,1 Adult No Kids,1,0,1485,50-99K,39.5,62.0
25-34,A,50-74K,Homeowner,1 Adult No Kids,2,0,1488,50-99K,29.5,62.0
65+,A,35-49K,Homeowner,2 Adults No Kids,2,0,1491,25-49K,65.0,42.0
65+,A,15-24K,Homeowner,2 Adults No Kids,2,0,1492,<25K,65.0,19.5
65+,B,25-34K,Homeowner,1 Adult No Kids,1,0,1494,25-49K,65.0,29.5
55-64,A,15-24K,Homeowner,2 Adults No Kids,2,0,1499,<25K,59.5,19.5
45-54,A,25-34K,Homeowner,1 Adult No Kids,1,0,1505,25-49K,49.5,29.5
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,0,1509,50-99K,49.5,62.0
45-54,A,50-74K,Homeowner,2 Adults Kids,4,2,1517,50-99K,49.5,62.0
45-54,A,35-49K,Homeowner,2 Adults No Kids,2,0,1524,25-49K,49.5,42.0
25-34,A,50-74K,Homeowner,2 Adults No Kids,2,0,1527,50-99K,29.5,62.0
35-44,B,125-149K,Homeowner,1 Adult No Kids,1,0,1528,100-149K,39.5,137.0
45-54,A,50-74K,Homeowner,1 Adult No Kids,1,0,1529,50-99K,49.5,62.0
25-34,A,75-99K,Renter,2 Adults Kids,3,1,1534,50-99K,29.5,87.0
45-54,B,50-74K,Homeowner,1 Adult No Kids,1,0,1536,50-99K,49.5,62.0
19-24,A,35-49K,Renter,2 Adults Kids,3,1,1537,25-49K,21.5,42.0
45-54,A,15-24K,Homeowner,2 Adults Kids,4,2,1540,<25K,49.5,19.5
35-44,B,50-74K,Homeowner,1 Adult No Kids,1,0,1541,50-99K,39.5,62.0
45-54,A,35-49K,Homeowner,2 Adults No Kids,2,0,1545,25-49K,49.5,42.0
45-54,B,15-24K,Homeowner,1 Adult No Kids,1,0,1549,<25K,49.5,19.5
45-54,A,35-49K,Homeowner,2 Adults No Kids,2,0,1556,25-49K,49.5,42.0
25-34,A,100-124K,Renter,1 Adult Kids,4,2,1557,100-149K,29.5,112.0
45-54,A,75-99K,Homeowner,2 Adults Kids,3,1,1563,50-99K,49.5,87.0
35-44,A,75-99K,Homeowner,2 Adults No Kids,2,0,1566,50-99K,39.5,87.0
45-54,A,15-24K,Renter,1 Adult No Kids,1,0,1567,<25K,49.5,19.5
55-64,B,35-49K,Homeowner,1 Adult No Kids,1,0,1568,25-49K,59.5,42.0
35-44,A,75-99K,Homeowner,2 Adults No Kids,2,0,1572,50-99K,39.5,87.0
45-54,A,15-24K,Homeowner,2 Adults No Kids,2,0,1578,<25K,49.5,19.5
19-24,B,50-74K,Homeowner,2 Adults No Kids,2,0,1580,50-99K,21.5,62.0
45-54,B,150-174K,Homeowner,1 Adult No Kids,1,0,1585,150K+,49.5,162.0
35-44,B,50-74K,Homeowner,1 Adult No Kids,1,0,1588,50-99K,39.5,62.0
25-34,A,25-34K,Homeowner,1 Adult No Kids,1,0,1591,25-49K,29.5,29.5
45-54,A,50-74K,Homeowner,1 Adult No Kids,1,0,1595,50-99K,49.5,62.0
35-44,A,35-49K,Homeowner,2 Adults No Kids,2,0,1604,25-49K,39.5,42.0
45-54,A,125-149K,Homeowner,2 Adults Kids,5,3,1609,100-149K,49.5,137.0
35-44,A,75-99K,Homeowner,1 Adult No Kids,2,0,1618,50-99K,39.5,87.0
25-34,A,35-49K,Homeowner,1 Adult No Kids,1,0,1627,25-49K,29.5,42.0
19-24,B,Under 15K,Renter,1 Adult Kids,4,3,1631,<25K,21.5,15.0
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,0,1633,50-99K,49.5,62.0
25-34,A,35-49K,Homeowner,2 Adults Kids,5,3,1634,25-49K,29.5,42.0
35-44,A,15-24K,Renter,1 Adult No Kids,1,0,1648,<25K,39.5,19.5
35-44,B,150-174K,Homeowner,1 Adult No Kids,1,0,1649,150K+,39.5,162.0
45-54,A,75-99K,Homeowner,2 Adults Kids,3,1,1650,50-99K,49.5,87.0
35-44,B,Under 15K,Homeowner,1 Adult No Kids,1,0,1653,<25K,39.5,15.0
35-44,A,150-174K,Homeowner,2 Adults No Kids,2,0,1662,150K+,39.5,162.0
35-44,A,75-99K,Homeowner,2 Adults No Kids,2,0,1676,50-99K,39.5,87.0
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,0,1677,50-99K,49.5,87.0
45-54,A,75-99K,Homeowner,1 Adult No Kids,1,0,1678,50-99K,49.5,87.0
25-34,A,15-24K,Homeowner,2 Adults Kids,3,1,1680,<25K,29.5,19.5
45-54,A,15-24K,Homeowner,2 Adults No Kids,2,0,1686,<25K,49.5,19.5
45-54,B,50-74K,Homeowner,1 Adult No Kids,1,0,1689,50-99K,49.5,62.0
35-44,B,50-74K,Homeowner,1 Adult No Kids,1,0,1692,50-99K,39.5,62.0
25-34,A,35-49K,Homeowner,2 Adults Kids,3,1,1693,25-49K,29.5,42.0
35-44,A,15-24K,Renter,1 Adult No Kids,1,0,1694,<25K,39.5,19.5
35-44,A,25-34K,Homeowner,1 Adult No Kids,1,0,1695,25-49K,39.5,29.5
45-54,A,50-74K,Homeowner,2 Adults Kids,3,1,1696,50-99K,49.5,62.0
35-44,B,25-34K,Homeowner,1 Adult No Kids,1,0,1707,25-49K,39.5,29.5
45-54,A,25-34K,Homeowner,1 Adult No Kids,1,0,1708,25-49K,49.5,29.5
25-34,A,35-49K,Homeowner,2 Adults Kids,3,1,1709,25-49K,29.5,42.0
35-44,A,150-174K,Homeowner,1 Adult No Kids,2,0,1710,150K+,39.5,162.0
45-54,B,50-74K,Homeowner,1 Adult No Kids,1,0,1720,50-99K,49.5,62.0
45-54,A,15-24K,Homeowner,2 Adults No Kids,2,0,1722,<25K,49.5,19.5
55-64,A,75-99K,Homeowner,1 Adult No Kids,1,0,1726,50-99K,59.5,87.0
19-24,A,250K+,Homeowner,1 Adult No Kids,1,0,1740,150K+,21.5,250.0
45-54,A,Under 15K,Homeowner,1 Adult No Kids,2,0,1745,<25K,49.5,15.0
45-54,A,35-49K,Homeowner,1 Adult No Kids,1,0,1748,25-49K,49.5,42.0
55-64,B,35-49K,Homeowner,1 Adult No Kids,1,0,1749,25-49K,59.5,42.0
25-34,A,15-24K,Renter,2 Adults Kids,4,2,1751,<25K,29.5,19.5
45-54,B,35-49K,Homeowner,1 Adult No Kids,1,0,1753,25-49K,49.5,42.0
35-44,A,35-49K,Homeowner,2 Adults Kids,5,3,1759,25-49K,39.5,42.0
45-54,A,125-149K,Homeowner,2 Adults Kids,5,3,1762,100-149K,49.5,137.0
45-54,A,75-99K,Homeowner,2 Adults Kids,4,2,1764,50-99K,49.5,87.0
45-54,A,35-49K,Homeowner,1 Adult No Kids,1,0,1765,25-49K,49.5,42.0
45-54,A,75-99K,Homeowner,2 Adults Kids,5,3,1775,50-99K,49.5,87.0
25-34,A,35-49K,Homeowner,2 Adults No Kids,2,0,1778,25-49K,29.5,42.0
65+,A,75-99K,Homeowner,2 Adults No Kids,2,0,1779,50-99K,65.0,87.0
25-34,A,35-49K,Homeowner,2 Adults Kids,5,3,1785,25-49K,29.5,42.0
35-44,A,75-99K,Homeowner,2 Adults No Kids,2,0,1788,50-99K,39.5,87.0
45-54,B,100-124K,Homeowner,2 Adults No Kids,2,0,1791,100-149K,49.5,112.0
45-54,A,25-34K,Homeowner,2 Adults No Kids,2,0,1795,25-49K,49.5,29.5
19-24,A,35-49K,Homeowner,1 Adult No Kids,1,0,1796,25-49K,21.5,42.0
65+,A,Under 15K,Homeowner,1 Adult No Kids,1,0,1797,<25K,65.0,15.0
35-44,A,175-199K,Homeowner,2 Adults No Kids,2,0,1800,150K+,39.5,187.0
45-54,A,150-174K,Homeowner,2 Adults No Kids,2,0,1802,150K+,49.5,162.0
19-24,A,50-74K,Homeowner,2 Adults Kids,3,1,1803,50-99K,21.5,62.0
65+,A,35-49K,Homeowner,2 Adults No Kids,2,0,1804,25-49K,65.0,42.0
45-54,A,50-74K,Homeowner,1 Adult No Kids,1,0,1812,50-99K,49.5,62.0
65+,A,150-174K,Homeowner,2 Adults No Kids,2,0,1814,150K+,65.0,162.0
45-54,A,25-34K,Homeowner,2 Adults No Kids,2,0,1815,25-49K,49.5,29.5
19-24,B,Under 15K,Renter,2 Adults Kids,5,3,1816,<25K,21.5,15.0
45-54,A,150-174K,Homeowner,2 Adults No Kids,2,0,1820,150K+,49.5,162.0
55-64,A,35-49K,Homeowner,2 Adults No Kids,2,0,1822,25-49K,59.5,42.0
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,0,1823,50-99K,49.5,87.0
65+,A,75-99K,Homeowner,1 Adult No Kids,2,0,1829,50-99K,65.0,87.0
55-64,A,75-99K,Homeowner,1 Adult No Kids,1,0,1831,50-99K,59.5,87.0
25-34,B,25-34K,Homeowner,1 Adult Kids,5,3,1833,25-49K,29.5,29.5
45-54,A,125-149K,Homeowner,2 Adults Kids,5,3,1834,100-149K,49.5,137.0
45-54,B,35-49K,Homeowner,2 Adults No Kids,2,0,1841,25-49K,49.5,42.0
45-54,A,250K+,Homeowner,2 Adults No Kids,2,0,1844,150K+,49.5,250.0
45-54,A,175-199K,Homeowner,2 Adults Kids,3,1,1845,150K+,49.5,187.0
45-54,A,175-199K,Homeowner,1 Adult No Kids,1,0,1847,150K+,49.5,187.0
45-54,A,75-99K,Homeowner,2 Adults Kids,3,1,1848,50-99K,49.5,87.0
65+,A,75-99K,Homeowner,1 Adult No Kids,2,0,1850,50-99K,65.0,87.0
25-34,B,150-174K,Homeowner,1 Adult No Kids,1,0,1858,150K+,29.5,162.0
25-34,A,15-24K,Homeowner,2 Adults Kids,4,2,1861,<25K,29.5,19.5
45-54,B,125-149K,Homeowner,1 Adult Kids,5,3,1864,100-149K,49.5,137.0
45-54,B,50-74K,Homeowner,1 Adult No Kids,1,0,1865,50-99K,49.5,62.0
19-24,A,35-49K,Renter,2 Adults No Kids,2,0,1869,25-49K,21.5,42.0
35-44,A,15-24K,Homeowner,1 Adult No Kids,1,0,1873,<25K,39.5,19.5
65+,A,35-49K,Homeowner,1 Adult No Kids,2,0,1879,25-49K,65.0,42.0
35-44,A,35-49K,Homeowner,2 Adults Kids,3,1,1892,25-49K,39.5,42.0
35-44,A,100-124K,Homeowner,2 Adults No Kids,2,0,1894,100-149K,39.5,112.0
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,0,1896,50-99K,49.5,62.0
25-34,A,25-34K,Homeowner,2 Adults Kids,3,1,1899,25-49K,29.5,29.5
45-54,A,35-49K,Homeowner,2 Adults Kids,3,1,1901,25-49K,49.5,42.0
25-34,B,50-74K,Homeowner,1 Adult No Kids,1,0,1907,50-99K,29.5,62.0
35-44,A,50-74K,Homeowner,1 Adult No Kids,2,0,1911,50-99K,39.5,62.0
55-64,B,75-99K,Homeowner,1 Adult No Kids,1,0,1914,50-99K,59.5,87.0
65+,A,15-24K,Homeowner,1 Adult No Kids,1,0,1917,<25K,65.0,19.5
35-44,A,35-49K,Homeowner,1 Adult Kids,5,3,1919,25-49K,39.5,42.0
